"Table 2: Life expectancy and healthy life expectancy in Scottish council areas, 2015-2017",,,,,,,,,,,,
,,,,,,,,,,,,
Area code,Council area,Sex,Age band,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),"Proportion of Life Spent in ""Good"" Health (%)",,
S12000045,East Dunbartonshire,female,85 to 89,6.57,6.24,6.90,2.87,2.08,3.65,43.64,,
S12000045,East Dunbartonshire,female,90+,4.57,4.16,4.99,1.89,1.14,2.64,41.28,,
S12000046,Glasgow City,male,less than 1,73.35,73.06,73.63,57.22,55.46,58.99,78.02,,
S12000046,Glasgow City,male,1 to 4,72.69,72.42,72.95,56.51,54.74,58.29,77.75,,
S12000046,Glasgow City,male,5 to 9,68.71,68.45,68.98,52.69,50.93,54.46,76.69,,
S12000046,Glasgow City,male,10 to 14,63.73,63.47,64.00,47.99,46.25,49.72,75.29,,
S12000046,Glasgow City,male,15 to 19,58.78,58.51,59.04,43.37,41.67,45.06,73.78,,
S12000046,Glasgow City,male,20 to 24,53.89,53.63,54.15,38.86,37.20,40.51,72.11,,
S12000046,Glasgow City,male,25 to 29,48.99,48.74,49.25,34.42,32.80,36.05,70.26,,
S12000046,Glasgow City,male,30 to 34,44.17,43.91,44.42,30.12,28.52,31.72,68.19,,
S12000046,Glasgow City,male,35 to 39,39.43,39.17,39.68,26.01,24.45,27.57,65.97,,
S12000046,Glasgow City,male,40 to 44,34.86,34.61,35.10,22.24,20.74,23.75,63.81,,
S12000046,Glasgow City,male,45 to 49,30.60,30.36,30.83,18.89,17.44,20.34,61.73,,
S12000046,Glasgow City,male,50 to 54,26.56,26.34,26.78,15.82,14.41,17.23,59.55,,
S12000046,Glasgow City,male,55 to 59,22.54,22.32,22.75,12.93,11.58,14.29,57.39,,
S12000046,Glasgow City,male,60 to 64,18.76,18.56,18.97,10.37,9.05,11.68,55.25,,
S12000046,Glasgow City,male,65 to 69,15.23,15.03,15.42,8.21,6.91,9.51,53.92,,
S12000046,Glasgow City,male,70 to 74,12.09,11.91,12.28,6.37,5.11,7.64,52.71,,
S12000046,Glasgow City,male,75 to 79,9.33,9.15,9.50,4.85,3.53,6.17,52.01,,
S12000046,Glasgow City,male,80 to 84,7.05,6.88,7.22,3.67,2.20,5.13,52.02,,
S12000046,Glasgow City,male,85 to 89,5.29,5.09,5.48,2.82,1.55,4.08,53.24,,
S12000046,Glasgow City,male,90+,4.05,3.75,4.35,2.24,0.95,3.53,55.18,,
S12000046,Glasgow City,female,less than 1,78.73,78.45,79.00,58.89,56.94,60.84,74.80,,
S12000046,Glasgow City,female,1 to 4,78.10,77.84,78.35,58.16,56.20,60.12,74.48,,
S12000046,Glasgow City,female,5 to 9,74.16,73.91,74.42,54.24,52.28,56.20,73.14,,
S12000046,Glasgow City,female,10 to 14,69.19,68.94,69.45,49.41,47.46,51.36,71.41,,
S12000046,Glasgow City,female,15 to 19,64.23,63.98,64.48,44.72,42.79,46.65,69.62,,
S12000046,Glasgow City,female,20 to 24,59.26,59.01,59.51,40.18,38.28,42.08,67.80,,
S12000046,Glasgow City,female,25 to 29,54.29,54.05,54.54,35.82,33.96,37.69,65.98,,
S12000046,Glasgow City,female,30 to 34,49.36,49.11,49.60,31.66,29.83,33.50,64.16,,
S12000046,Glasgow City,female,35 to 39,44.49,44.25,44.73,27.69,25.91,29.48,62.25,,
S12000046,Glasgow City,female,40 to 44,39.77,39.53,40.01,23.91,22.19,25.63,60.13,,
S12000046,Glasgow City,female,45 to 49,35.20,34.98,35.43,20.33,18.68,21.99,57.76,,
S12000046,Glasgow City,female,50 to 54,30.70,30.48,30.93,16.93,15.33,18.53,55.14,,
S12000046,Glasgow City,female,55 to 59,26.35,26.14,26.57,13.76,12.20,15.31,52.20,,
S12000046,Glasgow City,female,60 to 64,22.09,21.89,22.30,10.82,9.31,12.33,48.97,,
S12000046,Glasgow City,female,65 to 69,18.14,17.95,18.34,8.26,6.77,9.74,45.51,,
S12000046,Glasgow City,female,70 to 74,14.58,14.40,14.76,6.04,4.57,7.51,41.45,,
S12000046,Glasgow City,female,75 to 79,11.38,11.21,11.54,4.18,2.64,5.72,36.75,,
S12000046,Glasgow City,female,80 to 84,8.55,8.40,8.70,2.65,1.22,4.09,31.04,,
S12000046,Glasgow City,female,85 to 89,6.26,6.11,6.42,1.52,0.37,2.66,24.19,,
S12000046,Glasgow City,female,90+,4.41,4.21,4.61,0.67,-0.25,1.59,15.16,,
,,,,,,,,,,,,
© Crown copyright 2019,,,,,,,,,,,,
