"Table 7. Life expectancy in Scottish Parliamentary constituencies, 2016-2018",,,,,,,,
,,,,,,,,
Scottish Parliamentary Constituency,Sex,Age band,"Life Expectancy (LE, years)",LE lower confidence interval,LE upper confidence interval,,,
Glasgow Cathcart,female,55 to 59,28.68146,28.02881,29.33,,,
Glasgow Cathcart,female,60 to 64,24.40999,23.77655,25.04,,,
Glasgow Cathcart,female,65 to 69,20.27309,19.65796,20.89,,,
Glasgow Cathcart,female,70 to 74,16.51504,15.92462,17.11,,,
Glasgow Cathcart,female,75 to 79,13.0196,12.45046,13.59,,,
Glasgow Cathcart,female,80 to 84,10.03472,9.47904,10.59,,,
Glasgow Cathcart,female,85 to 89,7.64025,7.04528,8.24,,,
Glasgow Cathcart,female,90+,5.60096,4.83978,6.36,,,
Glasgow Cathcart,male,less than 1,75.69148,74.8704,76.51,,,
Glasgow Cathcart,male,1 to 4,74.93268,74.14374,75.72,,,
Glasgow Cathcart,male,5 to 9,70.93268,70.14374,71.72,,,
Glasgow Cathcart,male,10 to 14,65.93268,65.14374,66.72,,,
Glasgow Cathcart,male,15 to 19,60.93268,60.14374,61.72,,,
Glasgow Cathcart,male,20 to 24,56.09926,55.33092,56.87,,,
Glasgow Cathcart,male,25 to 29,51.14475,50.38095,51.91,,,
Glasgow Cathcart,male,30 to 34,46.38937,45.63693,47.14,,,
Glasgow Cathcart,male,35 to 39,41.57843,40.83295,42.32,,,
Glasgow Cathcart,male,40 to 44,37.07846,36.35199,37.80,,,
Glasgow Cathcart,male,45 to 49,32.72787,32.03197,33.42,,,
Glasgow Cathcart,male,50 to 54,28.48525,27.81607,29.15,,,
Glasgow Cathcart,male,55 to 59,24.26474,23.61634,24.91,,,
Glasgow Cathcart,male,60 to 64,20.48757,19.86459,21.11,,,
Glasgow Cathcart,male,65 to 69,16.91218,16.30932,17.52,,,
Glasgow Cathcart,male,70 to 74,14.01983,13.43694,14.60,,,
Glasgow Cathcart,male,75 to 79,10.83825,10.26686,11.41,,,
Glasgow Cathcart,male,80 to 84,7.99269,7.4169,8.57,,,
Glasgow Cathcart,male,85 to 89,5.958,5.29342,6.62,,,
Glasgow Cathcart,male,90+,4.45,3.47485,5.43,,,
Glasgow Kelvin,female,less than 1,79.9665,79.01433,80.92,,,
Glasgow Kelvin,female,1 to 4,79.44743,78.57073,80.32,,,
Glasgow Kelvin,female,5 to 9,75.5327,74.67111,76.39,,,
Glasgow Kelvin,female,10 to 14,70.5327,69.67111,71.39,,,
Glasgow Kelvin,female,15 to 19,65.65918,64.83242,66.49,,,
Glasgow Kelvin,female,20 to 24,60.65918,59.83242,61.49,,,
Glasgow Kelvin,female,25 to 29,55.67688,54.85023,56.50,,,
Glasgow Kelvin,female,30 to 34,50.74824,49.92245,51.57,,,
Glasgow Kelvin,female,35 to 39,45.85196,45.02858,46.68,,,
Glasgow Kelvin,female,40 to 44,41.08284,40.26901,41.90,,,
Glasgow Kelvin,female,45 to 49,36.29415,35.49107,37.10,,,
Glasgow Kelvin,female,50 to 54,31.75727,30.97394,32.54,,,
Glasgow Kelvin,female,55 to 59,27.3905,26.62749,28.15,,,
Glasgow Kelvin,female,60 to 64,22.96523,22.21861,23.71,,,
Glasgow Kelvin,female,65 to 69,19.42804,18.72241,20.13,,,
Glasgow Kelvin,female,70 to 74,15.66506,14.99272,16.34,,,
Glasgow Kelvin,female,75 to 79,12.01755,11.37075,12.66,,,
Glasgow Kelvin,female,80 to 84,9.27142,8.63819,9.90,,,
Glasgow Kelvin,female,85 to 89,6.928,6.21684,7.64,,,
Glasgow Kelvin,female,90+,5.57759,4.56257,6.59,,,
Glasgow Kelvin,male,less than 1,74.34365,73.40044,75.29,,,
Glasgow Kelvin,male,1 to 4,73.98117,73.12677,74.84,,,
Glasgow Kelvin,male,5 to 9,70.0553,69.21247,70.90,,,
Glasgow Kelvin,male,10 to 14,65.0553,64.21247,65.90,,,
Glasgow Kelvin,male,15 to 19,60.16021,59.34142,60.98,,,
Glasgow Kelvin,male,20 to 24,55.3042,54.49562,56.11,,,
Glasgow Kelvin,male,25 to 29,50.37382,49.56582,51.18,,,
Glasgow Kelvin,male,30 to 34,45.4773,44.6701,46.28,,,
Glasgow Kelvin,male,35 to 39,40.65112,39.84621,41.46,,,
Glasgow Kelvin,male,40 to 44,35.94955,35.15093,36.75,,,
Glasgow Kelvin,male,45 to 49,31.6782,30.90066,32.46,,,
Glasgow Kelvin,male,50 to 54,27.67878,26.92674,28.43,,,
Glasgow Kelvin,male,55 to 59,23.63719,22.90597,24.37,,,
Glasgow Kelvin,male,60 to 64,19.71962,19.00599,20.43,,,
Glasgow Kelvin,male,65 to 69,16.05649,15.35745,16.76,,,
Glasgow Kelvin,male,70 to 74,12.83293,12.13847,13.53,,,
Glasgow Kelvin,male,75 to 79,9.91312,9.2032,10.62,,,
Glasgow Kelvin,male,80 to 84,8.18396,7.40007,8.97,,,
Glasgow Kelvin,male,85 to 89,6.70552,5.71854,7.69,,,
Glasgow Kelvin,male,90+,5.56863,4.04029,7.10,,,
Glasgow Maryhill and Springburn,female,less than 1,77.24181,76.51783,77.97,,,
Glasgow Maryhill and Springburn,female,1 to 4,76.37449,75.67301,77.08,,,
Glasgow Maryhill and Springburn,female,5 to 9,72.37449,71.67301,73.08,,,
Glasgow Maryhill and Springburn,female,10 to 14,67.43445,66.74229,68.13,,,
Glasgow Maryhill and Springburn,female,15 to 19,62.43445,61.74229,63.13,,,
Glasgow Maryhill and Springburn,female,20 to 24,57.43445,56.74229,58.13,,,
Glasgow Maryhill and Springburn,female,25 to 29,52.50778,51.82219,53.19,,,
Glasgow Maryhill and Springburn,female,30 to 34,47.62602,46.94668,48.31,,,
Glasgow Maryhill and Springburn,female,35 to 39,42.77542,42.10444,43.45,,,
Glasgow Maryhill and Springburn,female,40 to 44,38.19649,37.551,38.84,,,
Glasgow Maryhill and Springburn,female,45 to 49,33.60752,32.98902,34.23,,,
Glasgow Maryhill and Springburn,female,50 to 54,29.33433,28.74872,29.92,,,
Glasgow Maryhill and Springburn,female,55 to 59,25.12984,24.57082,25.69,,,
Glasgow Maryhill and Springburn,female,60 to 64,20.91736,20.38231,21.45,,,
Glasgow Maryhill and Springburn,female,65 to 69,16.87589,16.37534,17.38,,,
Glasgow Maryhill and Springburn,female,70 to 74,13.33458,12.8783,13.79,,,
Glasgow Maryhill and Springburn,female,75 to 79,10.41545,10.01314,10.82,,,
Glasgow Maryhill and Springburn,female,80 to 84,7.75194,7.38734,8.12,,,
Glasgow Maryhill and Springburn,female,85 to 89,5.53244,5.17193,5.89,,,
Glasgow Maryhill and Springburn,female,90+,3.66279,3.21584,4.11,,,
Glasgow Maryhill and Springburn,male,less than 1,71.50878,70.67148,72.35,,,
Glasgow Maryhill and Springburn,male,1 to 4,70.74808,69.9415,71.55,,,
Glasgow Maryhill and Springburn,male,5 to 9,66.74808,65.9415,67.55,,,
Glasgow Maryhill and Springburn,male,10 to 14,61.7999,60.99908,62.60,,,
Glasgow Maryhill and Springburn,male,15 to 19,56.7999,55.99908,57.60,,,
Glasgow Maryhill and Springburn,male,20 to 24,52.03691,51.26002,52.81,,,
Glasgow Maryhill and Springburn,male,25 to 29,47.3638,46.60866,48.12,,,
Glasgow Maryhill and Springburn,male,30 to 34,42.66508,41.92154,43.41,,,
Glasgow Maryhill and Springburn,male,35 to 39,38.10061,37.37392,38.83,,,
Glasgow Maryhill and Springburn,male,40 to 44,33.78158,33.08454,34.48,,,
Glasgow Maryhill and Springburn,male,45 to 49,29.87901,29.23735,30.52,,,
Glasgow Maryhill and Springburn,male,50 to 54,25.84291,25.23939,26.45,,,
Glasgow Maryhill and Springburn,male,55 to 59,22.02868,21.46102,22.60,,,
Glasgow Maryhill and Springburn,male,60 to 64,18.2128,17.67677,18.75,,,
Glasgow Maryhill and Springburn,male,65 to 69,14.63349,14.1358,15.13,,,
Glasgow Maryhill and Springburn,male,70 to 74,11.54123,11.0829,12.00,,,
Glasgow Maryhill and Springburn,male,75 to 79,8.47496,8.04591,8.90,,,
Glasgow Maryhill and Springburn,male,80 to 84,6.29927,5.89256,6.71,,,
Glasgow Maryhill and Springburn,male,85 to 89,4.74484,4.27934,5.21,,,
Glasgow Maryhill and Springburn,male,90+,3.91489,3.12346,4.71,,,
Glasgow Pollok,female,less than 1,77.8062,76.98198,78.63,,,
Glasgow Pollok,female,1 to 4,77.91155,77.23275,78.59,,,
Glasgow Pollok,female,5 to 9,73.91155,73.23275,74.59,,,
Glasgow Pollok,female,10 to 14,68.95889,68.28601,69.63,,,
Glasgow Pollok,female,15 to 19,63.95889,63.28601,64.63,,,
Glasgow Pollok,female,20 to 24,59.00511,58.33785,59.67,,,
Glasgow Pollok,female,25 to 29,54.17023,53.52094,54.82,,,
Glasgow Pollok,female,30 to 34,49.31803,48.67774,49.96,,,
Glasgow Pollok,female,35 to 39,44.46875,43.83786,45.10,,,
Glasgow Pollok,female,40 to 44,39.74893,39.13594,40.36,,,
Glasgow Pollok,female,45 to 49,35.16904,34.58257,35.76,,,
Glasgow Pollok,female,50 to 54,30.58725,30.01764,31.16,,,
Glasgow Pollok,female,55 to 59,26.14888,25.59511,26.70,,,
Glasgow Pollok,female,60 to 64,21.81395,21.27552,22.35,,,
Glasgow Pollok,female,65 to 69,18.02195,17.51397,18.53,,,
Glasgow Pollok,female,70 to 74,14.43974,13.97119,14.91,,,
Glasgow Pollok,female,75 to 79,11.1339,10.70223,11.57,,,
Glasgow Pollok,female,80 to 84,8.5239,8.1266,8.92,,,
Glasgow Pollok,female,85 to 89,6.23104,5.81168,6.65,,,
Glasgow Pollok,female,90+,4.71538,4.14221,5.29,,,
Glasgow Pollok,male,less than 1,71.95197,71.09381,72.81,,,
Glasgow Pollok,male,1 to 4,71.63001,70.84066,72.42,,,
Glasgow Pollok,male,5 to 9,67.67455,66.88955,68.46,,,
Glasgow Pollok,male,10 to 14,62.71829,61.93745,63.50,,,
Glasgow Pollok,male,15 to 19,57.80373,57.03081,58.58,,,
Glasgow Pollok,male,20 to 24,52.92311,52.16043,53.69,,,
Glasgow Pollok,male,25 to 29,48.24976,47.5126,48.99,,,
Glasgow Pollok,male,30 to 34,43.58131,42.85956,44.30,,,
Glasgow Pollok,male,35 to 39,38.90537,38.19817,39.61,,,
Glasgow Pollok,male,40 to 44,34.42857,33.74584,35.11,,,
Glasgow Pollok,male,45 to 49,30.27382,29.633,30.91,,,
Glasgow Pollok,male,50 to 54,26.41786,25.8184,27.02,,,
Glasgow Pollok,male,55 to 59,22.55984,21.9886,23.13,,,
Glasgow Pollok,male,60 to 64,18.73463,18.18454,19.28,,,
Glasgow Pollok,male,65 to 69,15.17344,14.64576,15.70,,,
Glasgow Pollok,male,70 to 74,12.11594,11.61501,12.62,,,
Glasgow Pollok,male,75 to 79,9.37886,8.90019,9.86,,,
Glasgow Pollok,male,80 to 84,6.89161,6.41581,7.37,,,
Glasgow Pollok,male,85 to 89,5.56134,4.99834,6.12,,,
Glasgow Pollok,male,90+,4.30435,3.42478,5.18,,,
Glasgow Provan,female,less than 1,77.80747,77.10017,78.51,,,
Glasgow Provan,female,1 to 4,76.86707,76.16894,77.57,,,
Glasgow Provan,female,5 to 9,72.86707,72.16894,73.57,,,
Glasgow Provan,female,10 to 14,67.86707,67.16894,68.57,,,
Glasgow Provan,female,15 to 19,62.9249,62.23542,63.61,,,
Glasgow Provan,female,20 to 24,57.97867,57.29668,58.66,,,
Glasgow Provan,female,25 to 29,53.01383,52.33489,53.69,,,
Glasgow Provan,female,30 to 34,48.14362,47.47093,48.82,,,
Glasgow Provan,female,35 to 39,43.30669,42.64253,43.97,,,
Glasgow Provan,female,40 to 44,38.6358,37.99083,39.28,,,
Glasgow Provan,female,45 to 49,33.95757,33.33309,34.58,,,
Glasgow Provan,female,50 to 54,29.53948,28.93916,30.14,,,
Glasgow Provan,female,55 to 59,25.25728,24.67797,25.84,,,
Glasgow Provan,female,60 to 64,21.1629,20.60612,21.72,,,
Glasgow Provan,female,65 to 69,17.1686,16.6401,17.70,,,
Glasgow Provan,female,70 to 74,13.80552,13.31645,14.29,,,
Glasgow Provan,female,75 to 79,10.94324,10.50841,11.38,,,
Glasgow Provan,female,80 to 84,8.37454,7.96718,8.78,,,
Glasgow Provan,female,85 to 89,6.0743,5.64878,6.50,,,
Glasgow Provan,female,90+,4.65272,4.06284,5.24,,,
Glasgow Provan,male,less than 1,72.17955,71.35966,73.00,,,
Glasgow Provan,male,1 to 4,71.55489,70.7793,72.33,,,
Glasgow Provan,male,5 to 9,67.55489,66.7793,68.33,,,
Glasgow Provan,male,10 to 14,62.55489,61.7793,63.33,,,
Glasgow Provan,male,15 to 19,57.60715,56.83768,58.38,,,
Glasgow Provan,male,20 to 24,52.7975,52.04833,53.55,,,
Glasgow Provan,male,25 to 29,48.01262,47.27738,48.75,,,
Glasgow Provan,male,30 to 34,43.30618,42.58137,44.03,,,
Glasgow Provan,male,35 to 39,38.56672,37.85125,39.28,,,
Glasgow Provan,male,40 to 44,34.144,33.45235,34.84,,,
Glasgow Provan,male,45 to 49,29.91333,29.26003,30.57,,,
Glasgow Provan,male,50 to 54,25.81481,25.19671,26.43,,,
Glasgow Provan,male,55 to 59,21.84959,21.25833,22.44,,,
Glasgow Provan,male,60 to 64,17.91481,17.34298,18.49,,,
Glasgow Provan,male,65 to 69,14.62621,14.08583,15.17,,,
Glasgow Provan,male,70 to 74,11.58492,11.07084,12.10,,,
Glasgow Provan,male,75 to 79,9.01686,8.52569,9.51,,,
Glasgow Provan,male,80 to 84,6.98366,6.50272,7.46,,,
Glasgow Provan,male,85 to 89,5.47526,4.93576,6.01,,,
Glasgow Provan,male,90+,3.83,3.07932,4.58,,,
Glasgow Shettleston,female,less than 1,78.59825,77.85411,79.34,,,
Glasgow Shettleston,female,1 to 4,77.78084,77.06424,78.50,,,
Glasgow Shettleston,female,5 to 9,73.84084,73.13339,74.55,,,
Glasgow Shettleston,female,10 to 14,68.84084,68.13339,69.55,,,
Glasgow Shettleston,female,15 to 19,63.84084,63.13339,64.55,,,
Glasgow Shettleston,female,20 to 24,58.84084,58.13339,59.55,,,
Glasgow Shettleston,female,25 to 29,53.86958,53.16401,54.58,,,
Glasgow Shettleston,female,30 to 34,48.97135,48.27004,49.67,,,
Glasgow Shettleston,female,35 to 39,43.99574,43.29569,44.70,,,
Glasgow Shettleston,female,40 to 44,39.39858,38.72208,40.08,,,
Glasgow Shettleston,female,45 to 49,34.97252,34.33397,35.61,,,
Glasgow Shettleston,female,50 to 54,30.45229,29.83383,31.07,,,
Glasgow Shettleston,female,55 to 59,26.26138,25.66706,26.86,,,
Glasgow Shettleston,female,60 to 64,21.92252,21.34391,22.50,,,
Glasgow Shettleston,female,65 to 69,18.33714,17.79163,18.88,,,
Glasgow Shettleston,female,70 to 74,14.61018,14.09319,15.13,,,
Glasgow Shettleston,female,75 to 79,11.51911,11.03392,12.00,,,
Glasgow Shettleston,female,80 to 84,8.88827,8.42044,9.36,,,
Glasgow Shettleston,female,85 to 89,6.57395,6.07343,7.07,,,
Glasgow Shettleston,female,90+,4.72193,4.04513,5.40,,,
Glasgow Shettleston,male,less than 1,72.98105,72.22644,73.74,,,
Glasgow Shettleston,male,1 to 4,72.03304,71.2848,72.78,,,
Glasgow Shettleston,male,5 to 9,68.0816,67.33892,68.82,,,
Glasgow Shettleston,male,10 to 14,63.13369,62.39747,63.87,,,
Glasgow Shettleston,male,15 to 19,58.13369,57.39747,58.87,,,
Glasgow Shettleston,male,20 to 24,53.22057,52.49311,53.95,,,
Glasgow Shettleston,male,25 to 29,48.37442,47.65525,49.09,,,
Glasgow Shettleston,male,30 to 34,43.4686,42.75271,44.18,,,
Glasgow Shettleston,male,35 to 39,38.74932,38.04378,39.45,,,
Glasgow Shettleston,male,40 to 44,34.1504,33.46182,34.84,,,
Glasgow Shettleston,male,45 to 49,30.08716,29.44402,30.73,,,
Glasgow Shettleston,male,50 to 54,26.33968,25.74134,26.94,,,
Glasgow Shettleston,male,55 to 59,22.31034,21.73766,22.88,,,
Glasgow Shettleston,male,60 to 64,18.71705,18.17124,19.26,,,
Glasgow Shettleston,male,65 to 69,15.13362,14.61245,15.65,,,
Glasgow Shettleston,male,70 to 74,12.05628,11.56176,12.55,,,
Glasgow Shettleston,male,75 to 79,9.42826,8.95016,9.91,,,
Glasgow Shettleston,male,80 to 84,7.21058,6.74151,7.68,,,
Glasgow Shettleston,male,85 to 89,5.29289,4.76941,5.82,,,
Glasgow Shettleston,male,90+,3.8,3.01491,4.59,,,
Glasgow Southside,female,less than 1,78.21383,77.36199,79.07,,,
Glasgow Southside,female,1 to 4,77.44213,76.61771,78.27,,,
Glasgow Southside,female,5 to 9,73.50022,72.68306,74.32,,,
Glasgow Southside,female,10 to 14,68.56563,67.75784,69.37,,,
Glasgow Southside,female,15 to 19,63.56563,62.75784,64.37,,,
Glasgow Southside,female,20 to 24,58.63777,57.84149,59.43,,,
Glasgow Southside,female,25 to 29,53.63777,52.84149,54.43,,,
Glasgow Southside,female,30 to 34,48.72263,47.92939,49.52,,,
Glasgow Southside,female,35 to 39,43.83239,43.04311,44.62,,,
Glasgow Southside,female,40 to 44,39.25661,38.48544,40.03,,,
Glasgow Southside,female,45 to 49,35.018,34.29089,35.75,,,
Glasgow Southside,female,50 to 54,30.65188,29.95623,31.35,,,
Glasgow Southside,female,55 to 59,26.35078,25.68434,27.02,,,
Glasgow Southside,female,60 to 64,22.08016,21.43734,22.72,,,
Glasgow Southside,female,65 to 69,18.09628,17.49087,18.70,,,
Glasgow Southside,female,70 to 74,14.28348,13.72086,14.85,,,
Glasgow Southside,female,75 to 79,11.12567,10.62978,11.62,,,
Glasgow Southside,female,80 to 84,8.41156,7.96983,8.85,,,
Glasgow Southside,female,85 to 89,6.14339,5.72695,6.56,,,
Glasgow Southside,female,90+,3.75966,3.2769,4.24,,,
Glasgow Southside,male,less than 1,74.03668,73.16558,74.91,,,
Glasgow Southside,male,1 to 4,73.40031,72.56762,74.23,,,
Glasgow Southside,male,5 to 9,69.50587,68.68491,70.33,,,
Glasgow Southside,male,10 to 14,64.50587,63.68491,65.33,,,
Glasgow Southside,male,15 to 19,59.50587,58.68491,60.33,,,
Glasgow Southside,male,20 to 24,54.74681,53.95706,55.54,,,
Glasgow Southside,male,25 to 29,49.81407,49.02882,50.60,,,
Glasgow Southside,male,30 to 34,44.93977,44.15797,45.72,,,
Glasgow Southside,male,35 to 39,40.12718,39.34982,40.90,,,
Glasgow Southside,male,40 to 44,35.51614,34.74875,36.28,,,
Glasgow Southside,male,45 to 49,31.33059,30.59051,32.07,,,
Glasgow Southside,male,50 to 54,27.42334,26.71378,28.13,,,
Glasgow Southside,male,55 to 59,23.34835,22.66034,24.04,,,
Glasgow Southside,male,60 to 64,19.48002,18.81483,20.15,,,
Glasgow Southside,male,65 to 69,15.87864,15.23953,16.52,,,
Glasgow Southside,male,70 to 74,13.00791,12.39215,13.62,,,
Glasgow Southside,male,75 to 79,10.03131,9.4337,10.63,,,
Glasgow Southside,male,80 to 84,7.72394,7.11075,8.34,,,
Glasgow Southside,male,85 to 89,5.78567,5.07637,6.49,,,
Glasgow Southside,male,90+,4.76056,3.65321,5.87,,,
Greenock and Inverclyde,female,less than 1,79.2164,78.46687,79.97,,,
Greenock and Inverclyde,female,1 to 4,78.47225,77.77846,79.17,,,
Greenock and Inverclyde,female,5 to 9,74.47225,73.77846,75.17,,,
Greenock and Inverclyde,female,10 to 14,69.47225,68.77846,70.17,,,
Greenock and Inverclyde,female,15 to 19,64.47225,63.77846,65.17,,,
Greenock and Inverclyde,female,20 to 24,59.47225,58.77846,60.17,,,
Greenock and Inverclyde,female,25 to 29,54.55898,53.87463,55.24,,,
Greenock and Inverclyde,female,30 to 34,49.63597,48.95897,50.31,,,
Greenock and Inverclyde,female,35 to 39,44.96763,44.32147,45.61,,,
Greenock and Inverclyde,female,40 to 44,40.3989,39.7902,41.01,,,
Greenock and Inverclyde,female,45 to 49,35.98331,35.42169,36.54,,,
Greenock and Inverclyde,female,50 to 54,31.4596,30.9233,32.00,,,
Greenock and Inverclyde,female,55 to 59,27.0999,26.58788,27.61,,,
Greenock and Inverclyde,female,60 to 64,22.76341,22.27244,23.25,,,
Greenock and Inverclyde,female,65 to 69,18.7969,18.34,19.25,,,
Greenock and Inverclyde,female,70 to 74,14.95457,14.52723,15.38,,,
Greenock and Inverclyde,female,75 to 79,11.65674,11.26457,12.05,,,
Greenock and Inverclyde,female,80 to 84,8.64223,8.28355,9.00,,,
Greenock and Inverclyde,female,85 to 89,6.11918,5.76612,6.47,,,
Greenock and Inverclyde,female,90+,4.11621,3.67006,4.56,,,
Greenock and Inverclyde,male,less than 1,74.64814,73.87258,75.42,,,
Greenock and Inverclyde,male,1 to 4,73.72102,72.95797,74.48,,,
Greenock and Inverclyde,male,5 to 9,69.78555,69.03236,70.54,,,
Greenock and Inverclyde,male,10 to 14,64.78555,64.03236,65.54,,,
Greenock and Inverclyde,male,15 to 19,59.83898,59.09246,60.59,,,
Greenock and Inverclyde,male,20 to 24,54.88671,54.14546,55.63,,,
Greenock and Inverclyde,male,25 to 29,50.04172,49.31401,50.77,,,
Greenock and Inverclyde,male,30 to 34,45.28476,44.57595,45.99,,,
Greenock and Inverclyde,male,35 to 39,40.58865,39.90318,41.27,,,
Greenock and Inverclyde,male,40 to 44,35.8471,35.18078,36.51,,,
Greenock and Inverclyde,male,45 to 49,31.79801,31.19966,32.40,,,
Greenock and Inverclyde,male,50 to 54,27.74808,27.19848,28.30,,,
Greenock and Inverclyde,male,55 to 59,23.63224,23.11011,24.15,,,
Greenock and Inverclyde,male,60 to 64,19.70674,19.21054,20.20,,,
Greenock and Inverclyde,male,65 to 69,15.89576,15.42926,16.36,,,
Greenock and Inverclyde,male,70 to 74,12.77488,12.3386,13.21,,,
Greenock and Inverclyde,male,75 to 79,9.72339,9.30814,10.14,,,
Greenock and Inverclyde,male,80 to 84,7.12764,6.72698,7.53,,,
Greenock and Inverclyde,male,85 to 89,5.13738,4.70559,5.57,,,
Greenock and Inverclyde,male,90+,3.7874,3.12869,4.45,,,
"Hamilton, Larkhall and Stonehouse",female,less than 1,79.73635,78.99129,80.48,,,
"Hamilton, Larkhall and Stonehouse",female,1 to 4,79.07538,78.38896,79.76,,,
"Hamilton, Larkhall and Stonehouse",female,5 to 9,75.13977,74.46448,75.82,,,
"Hamilton, Larkhall and Stonehouse",female,10 to 14,70.19798,69.53187,70.86,,,
"Hamilton, Larkhall and Stonehouse",female,15 to 19,65.25426,64.59679,65.91,,,
"Hamilton, Larkhall and Stonehouse",female,20 to 24,60.30681,59.6569,60.96,,,
"Hamilton, Larkhall and Stonehouse",female,25 to 29,55.3518,54.70739,56.00,,,
"Hamilton, Larkhall and Stonehouse",female,30 to 34,50.46774,49.83542,51.10,,,
"Hamilton, Larkhall and Stonehouse",female,35 to 39,45.69771,45.08574,46.31,,,
"Hamilton, Larkhall and Stonehouse",female,40 to 44,41.0563,40.47385,41.64,,,
"Hamilton, Larkhall and Stonehouse",female,45 to 49,36.40605,35.85021,36.96,,,
"Hamilton, Larkhall and Stonehouse",female,50 to 54,31.75652,31.21904,32.29,,,
"Hamilton, Larkhall and Stonehouse",female,55 to 59,27.26849,26.7527,27.78,,,
"Hamilton, Larkhall and Stonehouse",female,60 to 64,22.94329,22.45448,23.43,,,
"Hamilton, Larkhall and Stonehouse",female,65 to 69,18.71128,18.25083,19.17,,,
"Hamilton, Larkhall and Stonehouse",female,70 to 74,14.80748,14.3766,15.24,,,
"Hamilton, Larkhall and Stonehouse",female,75 to 79,11.24869,10.84416,11.65,,,
"Hamilton, Larkhall and Stonehouse",female,80 to 84,8.32163,7.94666,8.70,,,
"Hamilton, Larkhall and Stonehouse",female,85 to 89,5.69381,5.32104,6.07,,,
"Hamilton, Larkhall and Stonehouse",female,90+,3.80165,3.32267,4.28,,,
"Hamilton, Larkhall and Stonehouse",male,less than 1,75.47546,74.63867,76.31,,,
"Hamilton, Larkhall and Stonehouse",male,1 to 4,74.71732,73.91211,75.52,,,
"Hamilton, Larkhall and Stonehouse",male,5 to 9,70.77504,69.97718,71.57,,,
"Hamilton, Larkhall and Stonehouse",male,10 to 14,65.77504,64.97718,66.57,,,
"Hamilton, Larkhall and Stonehouse",male,15 to 19,60.77504,59.97718,61.57,,,
"Hamilton, Larkhall and Stonehouse",male,20 to 24,55.82316,55.03023,56.62,,,
"Hamilton, Larkhall and Stonehouse",male,25 to 29,51.03255,50.25804,51.81,,,
"Hamilton, Larkhall and Stonehouse",male,30 to 34,46.38117,45.63535,47.13,,,
"Hamilton, Larkhall and Stonehouse",male,35 to 39,41.75463,41.03585,42.47,,,
"Hamilton, Larkhall and Stonehouse",male,40 to 44,37.3542,36.67172,38.04,,,
"Hamilton, Larkhall and Stonehouse",male,45 to 49,33.34028,32.71257,33.97,,,
"Hamilton, Larkhall and Stonehouse",male,50 to 54,29.1797,28.58475,29.77,,,
"Hamilton, Larkhall and Stonehouse",male,55 to 59,24.92862,24.35862,25.50,,,
"Hamilton, Larkhall and Stonehouse",male,60 to 64,20.93357,20.39205,21.48,,,
"Hamilton, Larkhall and Stonehouse",male,65 to 69,17.14068,16.63061,17.65,,,
"Hamilton, Larkhall and Stonehouse",male,70 to 74,13.44995,12.96163,13.94,,,
"Hamilton, Larkhall and Stonehouse",male,75 to 79,10.24878,9.76811,10.73,,,
"Hamilton, Larkhall and Stonehouse",male,80 to 84,7.82142,7.33091,8.31,,,
"Hamilton, Larkhall and Stonehouse",male,85 to 89,5.60094,5.03218,6.17,,,
"Hamilton, Larkhall and Stonehouse",male,90+,4.33333,3.42275,5.24,,,
Inverness and Nairn,female,less than 1,81.96364,81.25181,82.68,,,
Inverness and Nairn,female,1 to 4,81.31741,80.66121,81.97,,,
Inverness and Nairn,female,5 to 9,77.31741,76.66121,77.97,,,
Inverness and Nairn,female,10 to 14,72.31741,71.66121,72.97,,,
Inverness and Nairn,female,15 to 19,67.41253,66.76881,68.06,,,
Inverness and Nairn,female,20 to 24,62.61083,61.99518,63.23,,,
Inverness and Nairn,female,25 to 29,57.78213,57.18806,58.38,,,
Inverness and Nairn,female,30 to 34,52.84997,52.26265,53.44,,,
Inverness and Nairn,female,35 to 39,47.96214,47.38388,48.54,,,
Inverness and Nairn,female,40 to 44,43.21838,42.6591,43.78,,,
Inverness and Nairn,female,45 to 49,38.57437,38.04001,39.11,,,
Inverness and Nairn,female,50 to 54,33.84354,33.32284,34.36,,,
Inverness and Nairn,female,55 to 59,29.16257,28.65393,29.67,,,
Inverness and Nairn,female,60 to 64,24.71006,24.22167,25.20,,,
Inverness and Nairn,female,65 to 69,20.5899,20.12984,21.05,,,
Inverness and Nairn,female,70 to 74,16.48253,16.04573,16.92,,,
Inverness and Nairn,female,75 to 79,12.80039,12.39098,13.21,,,
Inverness and Nairn,female,80 to 84,9.43007,9.04394,9.82,,,
Inverness and Nairn,female,85 to 89,6.68966,6.30353,7.08,,,
Inverness and Nairn,female,90+,4.61219,4.1364,5.09,,,
Inverness and Nairn,male,less than 1,77.26675,76.4798,78.05,,,
Inverness and Nairn,male,1 to 4,76.54604,75.79528,77.30,,,
Inverness and Nairn,male,5 to 9,72.64805,71.9097,73.39,,,
Inverness and Nairn,male,10 to 14,67.69221,66.95848,68.43,,,
Inverness and Nairn,male,15 to 19,62.73592,62.00672,63.47,,,
Inverness and Nairn,male,20 to 24,57.85621,57.13837,58.57,,,
Inverness and Nairn,male,25 to 29,53.03921,52.33714,53.74,,,
Inverness and Nairn,male,30 to 34,48.57116,47.90882,49.23,,,
Inverness and Nairn,male,35 to 39,43.85828,43.2139,44.50,,,
