"Table 2: Healthy Life Expectancy (HLE1) estimates by council area in Scotland, 2019-2021",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Council Area,Area Code,Sex,Age group,"Life Expectancy (LE, years)",LE Lower CI (years),LE Upper CI (years),Healthy Life Expectancy (HLE) (years),HLE Lower CI (years),HLE Upper CI (years),Proportion of Life Spent in Good Health (%),,,,,,,,,,,,,,,,
Stirling,S12000030,Male,45 to 49,34.83,34.28,35.37,26.08,24.35,27.82,74.90,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,50 to 54,30.37,29.86,30.88,22.33,20.70,23.97,73.53,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,55 to 59,26.10,25.62,26.59,18.83,17.26,20.39,72.13,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,60 to 64,21.97,21.51,22.43,15.57,14.10,17.05,70.88,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,65 to 69,18.07,17.64,18.50,12.55,11.13,13.97,69.44,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,70 to 74,14.41,14.01,14.80,9.80,8.43,11.18,68.05,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,75 to 79,10.77,10.39,11.15,7.14,5.76,8.53,66.29,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,80 to 84,7.96,7.60,8.32,5.19,3.73,6.64,65.14,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,85 to 89,5.27,4.90,5.64,3.27,2.12,4.43,62.17,,,,,,,,,,,,,,,,
Stirling,S12000030,Male,90+,3.70,3.14,4.26,1.99,0.87,3.11,53.90,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,<1,78.42,77.74,79.11,56.75,53.75,59.74,72.36,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,1 to 4,77.63,76.99,78.27,56.08,53.09,59.08,72.25,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,5 to 9,73.75,73.13,74.37,52.97,50.09,55.85,71.83,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,10 to 14,68.80,68.18,69.41,48.98,46.30,51.65,71.19,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,15 to 19,63.84,63.23,64.45,44.97,42.50,47.43,70.44,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,20 to 24,58.88,58.28,59.49,40.97,38.74,43.19,69.57,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,25 to 29,54.00,53.41,54.59,37.09,34.98,39.21,68.68,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,30 to 34,49.03,48.45,49.62,33.23,31.23,35.22,67.77,,,,,,,,,,,,,,,,
West Dunbartonshire,S12000039,Female,35 to 39,44.14,43.56,44.72,29.41,27.55,31.28,66.64,,,,,,,,,,,,,,,,
